datum;tijdsvak;positie;nummer;artiest;jaartal
2025-12-31 00:00:00;23.00 - 0.00;1;Bohemian;Rhapsody Queen;1975
2025-12-31 00:00:00;23.00 - 0.00;2;Piano;Man Billy Joel;1973
2025-12-31 00:00:00;23.00 - 0.00;3;Hotel;California Eagles;1977
2025-12-31 00:00:00;23.00 - 0.00;4;Fix;You Coldplay;2005
2025-12-31 00:00:00;23.00 - 0.00;5;Roller;Coaster Danny Vera;2019
2025-12-31 00:00:00;23.00 - 0.00;6;Black;Pearl Jam;1992
2025-12-31 00:00:00;23.00 - 0.00;7;Stairway;To Heaven Led Zeppelin;1971
2025-12-31 00:00:00;23.00 - 0.00;8;Avond;Boudewijn de Groot;1997
2025-12-31 00:00:00;23.00 - 0.00;9;Radar;Love  Golden Earring;1973
2025-12-31 00:00:00;22.00 - 23.00;10;Wish;You Were Here Pink Floyd;1975
2025-12-31 00:00:00;22.00 - 23.00;11;Nothing;Else Matters  Metallica;1992
2025-12-31 00:00:00;22.00 - 23.00;12;Brothers;In Arms  Dire Straits;1985
2025-12-31 00:00:00;22.00 - 23.00;13;Sultans;Of Swing Dire Straits;1978
2025-12-31 00:00:00;22.00 - 23.00;14;Love;Of My Life Queen;1975
2025-12-31 00:00:00;22.00 - 23.00;15;Comfortably;Numb  Pink Floyd;1979
2025-12-31 00:00:00;22.00 - 23.00;16;November;Rain Guns N' Roses;1992
2025-12-31 00:00:00;22.00 - 23.00;17;God;Only Knows The Beach Boys;1966
2025-12-31 00:00:00;21.00 - 22.00;18;Oceaan;Racoon;2012
2025-12-31 00:00:00;21.00 - 22.00;19;Telegraph;Road Dire Straits;1982
2025-12-31 00:00:00;21.00 - 22.00;20;Soldier;On DI-RECT;2020
2025-12-31 00:00:00;21.00 - 22.00;21;A;Forest  The Cure;1980
2025-12-31 00:00:00;21.00 - 22.00;22;The;Sound Of Silence Disturbed;2016
2025-12-31 00:00:00;21.00 - 22.00;23;Africa;Toto;1982
2025-12-31 00:00:00;21.00 - 22.00;24;Child;In Time  Deep Purple;1970
2025-12-31 00:00:00;20.00 - 21.00;25;Shine;On You Crazy Diamond Pink Floyd;1975
2025-12-31 00:00:00;20.00 - 21.00;26;Go;Your Own Way Fleetwood Mac;1977
2025-12-31 00:00:00;20.00 - 21.00;27;Master;Of Puppets Metallica;1986
2025-12-31 00:00:00;20.00 - 21.00;28;Creep;Radiohead;1992
2025-12-31 00:00:00;20.00 - 21.00;29;Over;De Muur Klein Orkest;1984
2025-12-31 00:00:00;20.00 - 21.00;30;Thunderstruck;AC/DC;1990
2025-12-31 00:00:00;20.00 - 21.00;31;The;Chain Fleetwood Mac;1977
2025-12-31 00:00:00;20.00 - 21.00;32;One;Metallica;1994
2025-12-31 00:00:00;20.00 - 21.00;33;Lichtje;Branden Suzan & Freek;2021
2025-12-31 00:00:00;19.00 - 20.00;34;Purple;Rain  Prince & The Revolution;1984
2025-12-31 00:00:00;19.00 - 20.00;35;De;Waarheid Marco Borsato;1996
2025-12-31 00:00:00;19.00 - 20.00;36;In;The End Linkin Park;2000
2025-12-31 00:00:00;19.00 - 20.00;37;The;River Bruce Springsteen;1981
2025-12-31 00:00:00;19.00 - 20.00;38;In;The Air Tonight  Phil Collins;1981
2025-12-31 00:00:00;19.00 - 20.00;39;Smells;Like Teen Spirit Nirvana;1991
2025-12-31 00:00:00;19.00 - 20.00;40;Heroes;David Bowie;1976
2025-12-31 00:00:00;19.00 - 20.00;41;Cold;Little Heart  Michael Kiwanuka;2016
2025-12-31 00:00:00;18.00 - 19.00;42;Dancing;Queen ABBA;1976
2025-12-31 00:00:00;18.00 - 19.00;43;Viva;La Vida Coldplay;2008
2025-12-31 00:00:00;18.00 - 19.00;44;Yellow;Coldplay;2000
2025-12-31 00:00:00;18.00 - 19.00;45;Impossible;Nothing But Thieves;2020
2025-12-31 00:00:00;18.00 - 19.00;46;Just;Breathe Pearl Jam;2009
2025-12-31 00:00:00;18.00 - 19.00;47;Dochters;Marco Borsato;2008
2025-12-31 00:00:00;18.00 - 19.00;48;Het;Dorp Wim Sonneveld;1974
2025-12-31 00:00:00;18.00 - 19.00;49;Paradise;By The Dashboard... Meat Loaf;1978
2025-12-31 00:00:00;18.00 - 19.00;50;Enter;Sandman Metallica;1991
2025-12-31 00:00:00;18.00 - 19.00;51;Sweet;Child O' Mine  Guns N' Roses;1987
2025-12-31 00:00:00;17.00 - 18.00;52;Killing;In The Name Rage Against The Machine;1992
2025-12-31 00:00:00;17.00 - 18.00;53;Rood;Marco Borsato;2006
2025-12-31 00:00:00;17.00 - 18.00;54;Imagine;John Lennon;1971
2025-12-31 00:00:00;17.00 - 18.00;55;Shallow;Lady Gaga & Bradley Cooper;2018
2025-12-31 00:00:00;17.00 - 18.00;56;Fool's;Overture Supertramp;1977
2025-12-31 00:00:00;17.00 - 18.00;57;Don't;Stop Me Now Queen;1979
2025-12-31 00:00:00;17.00 - 18.00;58;Another;Love Tom Odell;2012
2025-12-31 00:00:00;17.00 - 18.00;59;Iris;The Goo Goo Dolls;1999
2025-12-31 00:00:00;17.00 - 18.00;60;The;Sound Of Silence Simon & Garfunkel;1966
2025-12-31 00:00:00;17.00 - 18.00;61;Papa;Stef Bos;1991
2025-12-31 00:00:00;17.00 - 18.00;62;Paranoid;Black Sabbath;1970
2025-12-31 00:00:00;16.00 - 17.00;63;Het;Regent Zonnestralen Acda en De Munnik;1998
2025-12-31 00:00:00;16.00 - 17.00;64;Lose;Yourself Eminem;2002
2025-12-31 00:00:00;16.00 - 17.00;65;Let;It Be The Beatles;1970
2025-12-31 00:00:00;16.00 - 17.00;66;Paint;It Black The Rolling Stones;1966
2025-12-31 00:00:00;16.00 - 17.00;67;Lola;Montez Volbeat;2013
2025-12-31 00:00:00;16.00 - 17.00;68;Zombie;The Cranberries;1994
2025-12-31 00:00:00;16.00 - 17.00;69;Dreams;Fleetwood Mac;1977
2025-12-31 00:00:00;16.00 - 17.00;70;Innuendo;Queen;1991
2025-12-31 00:00:00;16.00 - 17.00;71;Who;Wants To Live Forever Queen;1986
2025-12-31 00:00:00;16.00 - 17.00;72;Back;To Black Amy Winehouse;2007
2025-12-31 00:00:00;15.00 - 16.00;73;School;Supertramp;1974
2025-12-31 00:00:00;15.00 - 16.00;74;Hurt;Johnny Cash;2002
2025-12-31 00:00:00;15.00 - 16.00;75;Mr.;Brightside The Killers;2005
2025-12-31 00:00:00;15.00 - 16.00;76;The;Scientist  Coldplay;2002
2025-12-31 00:00:00;15.00 - 16.00;77;Iron;Sky  Paolo Nutini;2014
2025-12-31 00:00:00;15.00 - 16.00;78;The;Show Must Go On Queen;1991
2025-12-31 00:00:00;15.00 - 16.00;79;Don't;Stop Believin' Journey;1981
2025-12-31 00:00:00;15.00 - 16.00;80;With or Without You;U2;1987
2025-12-31 00:00:00;15.00 - 16.00;81;Brabant;Guus Meeuwis80 With Or Without You U2;2003
2025-12-31 00:00:00;15.00 - 16.00;82;Afscheid;Nemen Bestaat Niet Marco Borsato;2003
2025-12-31 00:00:00;14.00 - 15.00;83;Bitter;Sweet Symphony  The Verve;1997
2025-12-31 00:00:00;14.00 - 15.00;84;Mr.;Blue Sky Electric Light Orchestra;1978
2025-12-31 00:00:00;14.00 - 15.00;85;Old;And Wise The Alan Parsons Project;1982
2025-12-31 00:00:00;14.00 - 15.00;86;Angels;Robbie Williams;1998
2025-12-31 00:00:00;14.00 - 15.00;87;Blackbird;The Beatles;1968
2025-12-31 00:00:00;14.00 - 15.00;88;Door;De Wind Miss Montreal;2020
2025-12-31 00:00:00;14.00 - 15.00;89;Enjoy;The Silence Depeche Mode;1990
2025-12-31 00:00:00;14.00 - 15.00;90;De;Bestemming Marco Borsato;1998
2025-12-31 00:00:00;14.00 - 15.00;91;Clocks;Coldplay;2003
2025-12-31 00:00:00;14.00 - 15.00;92;Gimme;Shelter The Rolling Stones;1969
2025-12-31 00:00:00;14.00 - 15.00;93;Ik;Leef Niet Meer Voor Jou Marco Borsato;1996
2025-12-31 00:00:00;13.00 - 14.00;94;Somebody;To Love (Live) George Michael & Queen;1993
2025-12-31 00:00:00;13.00 - 14.00;95;Running;Up That Hill  Kate Bush;1985
2025-12-31 00:00:00;13.00 - 14.00;96;One;U2;1992
2025-12-31 00:00:00;13.00 - 14.00;97;Uprising;Muse;2009
2025-12-31 00:00:00;13.00 - 14.00;98;Jolene;Dolly Parton;1974
2025-12-31 00:00:00;13.00 - 14.00;99;Alive;Pearl Jam;1992
